[01 07 00:14:38] [INFO]  server.windowManipulator/46 || Start Emulator... || try to get window
[01 07 00:15:08] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:17:38] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:18:58] [INFO]  server.windowManipulator/46 || Start Emulator...
[01 07 00:19:28] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:19:28] [INFO]  __main__/26 || current Operate:arkNightsApp
[01 07 00:19:29] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_19_28.png||spendTime=0.40800929069519043Second
[01 07 00:39:52] [INFO]  server.windowManipulator/46 || Start Emulator...
[01 07 00:40:22] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:40:22] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 07 00:40:22] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_40_22.png||spendTime=0.45541858673095703Second
[01 07 00:40:22] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/arkNightsApp.png
[01 07 00:40:22] [INFO]  __main__/30 || Can't find button:arkNightsApp
[01 07 00:40:22] [INFO]  server.windowManipulator/38 || Can't find Game Window... || try to start game
[01 07 00:41:49] [INFO]  server.windowManipulator/46 || Start Emulator...
[01 07 00:42:19] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:42:19] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 07 00:42:19] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_42_19.png||spendTime=0.34840941429138184Second
[01 07 00:42:19] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/arkNightsApp.png
[01 07 00:42:19] [INFO]  __main__/30 || Can't find button:arkNightsApp
[01 07 00:42:19] [INFO]  server.windowManipulator/38 || Can't find Game Window... || try to start game
[01 07 00:43:15] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:43:17] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 07 00:43:17] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_43_17.png||spendTime=0.37572789192199707Second
[01 07 00:43:32] [INFO]  server.windowManipulator/38 || Can't find Game Window... || try to start game
[01 07 00:45:05] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:45:07] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 07 00:45:08] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_45_7.png||spendTime=0.3937876224517822Second
[01 07 00:45:23] [INFO]  server.windowManipulator/40 || getGameWindow success...
[01 07 00:49:36] [INFO]  server.windowManipulator/46 || Start Emulator...
[01 07 00:50:06] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:50:08] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 07 00:50:08] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_50_8.png||spendTime=0.35274815559387207Second
[01 07 00:50:23] [INFO]  server.windowManipulator/40 || getGameWindow success...
[01 07 00:50:30] [INFO]  __main__/25 || current Operate:homePage_WatingForWeakup
[01 07 00:50:30] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_50_30.png||spendTime=0.3889017105102539Second
[01 07 00:50:30] [INFO]  __main__/30 || Can't find button:homePage_WatingForWeakup
[01 07 00:51:50] [INFO]  server.windowManipulator/46 || Start Emulator...
[01 07 00:52:20] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:52:22] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 07 00:52:22] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_52_22.png||spendTime=0.3654506206512451Second
[01 07 00:52:37] [INFO]  server.windowManipulator/40 || getGameWindow success...
[01 07 00:52:44] [INFO]  __main__/25 || current Operate:homePage_WatingForWeakup
[01 07 00:52:44] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_52_44.png||spendTime=0.3704202175140381Second
[01 07 00:52:44] [INFO]  __main__/30 || Can't find button:homePage_WatingForWeakup
[01 07 00:54:17] [INFO]  server.windowManipulator/46 || Start Emulator...
[01 07 00:54:47] [INFO]  server.windowManipulator/32 || getEmulatorWindow success...
[01 07 00:54:49] [INFO]  __main__/25 || current Operate:arkNightsApp
[01 07 00:54:49] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_54_49.png||spendTime=0.3738093376159668Second
[01 07 00:55:04] [INFO]  server.windowManipulator/40 || getGameWindow success...
[01 07 00:55:16] [INFO]  __main__/25 || current Operate:homePage_WatingForWeakup
[01 07 00:55:17] [INFO]  server.windowManipulator/66 || image save succeed||path=./images/ScreenShots/1_7_0_55_16.png||spendTime=0.19300246238708496Second
[01 07 00:55:17] [INFO]  __main__/30 || Can't find button:homePage_WatingForWeakup
[01 07 00:56:30] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/arkNightsApp.png
[01 07 00:59:01] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/arkNightsApp.png
[01 07 00:59:14] [INFO]  server.photoSearcher/23 || Can't find target:./images/OperationIcon/arkNightsApp.png
